index,content
271,培养 非洲 工程师 Andela 获 扎克伯格 基金 2400 万美元 投资
272,职业 蛙 CareerFrog 获 200 万 A轮 融资 欲 打造 大学生 求职 教育 影响力 品牌
273,Codecademy C轮 融资 千万美元 公司 规模
274,资本 寒冬 件 好事 中外 教育 咖共论 教育 趋势
275,趣学车 获 亿元 Pre A+轮 融资 一年 融资 三轮
276,A股 焦点科技 设立 子公司 焦点教育 目标 智慧 校园 解决方案
277,全美在线 拟 增资 入股 普华慧通 职业教育 产业链 延伸 学历教育
278,朗播网 获 数千万 人民币 A轮 融资 强化 学习 产品
279,宝宝树 逾 30 亿 人民币 融资 回归 国内 资本 市场
280,翠微股份 拟 涉足 民办教育 海淀国投 设立 教育 投资 公司
281,牛客 网获 1000 万 人民币 Pre 轮 融资 B 端 C 端的 生意 做
282,高校 学习 资料 分享 产品 米盒 获 300 万 天使投资
283,斗鱼 获 15 亿 人民币 C轮 融资 日活 超过 1500 万 用户
284,VIPKID 获 C轮 亿美元 融资 云锋基金 领投
285,全民 健身 热潮 健身 教练 Keep 获 腾讯 C 轮 战略 投资
286,瑜伽 品牌 Wake Pre A轮 1500 万元 融资
287,伟东云教育 获 亿左右 A轮 融资 未来 布局 生态 链
288,人才 服务 教育 媒体 STEM 初创 教育 创业 公司 做
289,会计乐 获 200 万 人民币 A轮 融资 服务 400 多家 会计 培训 机构
290,YC 2016 夏季 Demo Day 教育科技 项目
291,小猪 数千万元 Pre A轮 融资 持续 布局 游学 市场
292,融资 潮到 并购 潮 教育领域 遭遇 资本 寒冬
293,美术宝 200 万 人民币 B 轮 融资 500 亿 规模 垂直 市场 做
294,数百万元 投资 首尔教育 沪江 拿下 线下 韩语 培训
295,时代智囊 获近 5000 万元 首轮 融资 计划 2017 挂牌 新 三板
296,印度 个性化 学习 工具 BYJU 获 5000 万美元 融资 扎克伯格 领投
297,印度 在线 留学 咨询机构 Stoodnt 获 30 万美元 种子轮 融资
298,51 CTO 获过 亿元 B轮 融资 资金 用于 教育 业务
299,独家 诺贝儿教育 获 7500 万 人民币 B轮 融资 三年 筹划 赴 A股 上市
300,推广 儿童 编程 教育 Cod eSpark 获 410 万美元 种子轮 融资
301,海淀 国际教育 投资 有限公司 成立 推动 民办 基础教育 发展
302,学乐云教学 获 C 轮 数千万 美金 融资 加码 体制 教育 信息化
303,建 写字楼 里 健身房 趣练体 适能 团课 获 千万级 天使轮 投资
304,凹凸个性教育 获 数千万 战略 投资 年底 推出 双师 直播 课堂
305,亿 B 轮 融资 智课教育 从线 走 线下 做 生态
306,三好 网 轮 融资 推出 第二代 硬件 产品 超级 好学 宝
307,完善 大数 综合 体系 新开普 2400 万 增资 希嘉教育
308,印尼 在线 高等教育 初创 公司 Haruka Ed u 220 万美元 B 轮 融资
309,魔方格 1.5 亿元 融资 主推 定制 化 B 端 服务
310,和君商学 出资 400 万 人民币 设立 合资 公司 法律 教育领域
311,儿童 托管 机构 可爱学 B1 轮 融资 章子怡 领投
312,雷诺尔 拟以 1.73 亿元 控股 春华教育 教育 培训 领域
313,首发 脱胎 线下 机构 美术 在线教育 四个 爸爸 获 数百万 天使投资
314,30 亿 融资 宝宝树 复星 入口
315,行 分答 腾讯 A+轮 投资 累计 融资额 超 亿 人民币
316,UNICAF 200 万美元 融资 新型 学校 非洲 做 学历教育
317,宝宝树 联手 好未来 战略 投资 科学 媒体 知识分子
318,长方集团 1.2 亿元 投资 贝壳金宝 布局 高端 直营 幼儿园
319,大嘴外教 获 沪江 超 千万元 Pre 轮 融资 主营 国际 语言 一对一 业务
320,估值 亿 异乡 好居获 小站教育 A+轮 投资
321,和君商学 出手 1020 万 投资 艺术 领域
322,金英杰医学 获 5000 万元 B 轮 融资 估值 亿元
323,Osmo 2400 万美元 融资 开发 iPhone 版 AR
324,帮 老师 制作 互动 视频 Expla Everyth g 获 370 万美元 投资 扩展 企业 培训 领域
325,首发 校企 合作 服务商 校企 桥 获 拼图资本 A轮 融资
326,印度 学生 提供 求职 咨询 TapChief 获 种子轮 投资
327,球员 模拟训练 场景 VR 初创 企业 STRIVR Labs 获 500 万美元 轮 融资
328,轻轻家教 获 好未来 1800 万美元 C 轮 融资 走 家教 O2O 路子
329,做 LMS MasteryConnect 融资 450 万美金 度过 冬天
330,嘉达早教 拟 出资 亿元 投资 互联网 金融公司 资邦元达
331,跨界 娱乐圈 容艺教育 获 新东方领投 千万级 B 轮 融资
332,壹医考 获 数千万元 轮 融资 未来 发力 教研 产品
333,首发 美术高考 培训 机构 杭州 君岭 数千万元 轮 融资 有成 创投领投
334,数千万元 投资 睿励 人生 精锐教育 野心 低龄 留学
335,印度 学习 工具 Byju 获 1500 万美金 投资 用于 本土 国际 市场 拓展
336,媒体 大号 十点 读书 获超 6000 万元 轮 融资 网络课堂 付费 用户 达 15 万
337,嘉达早教 南京 储君教育 投资 5000 万元 发展 亲子园 业务
338,方直科技 亿元 投资 千锋互联 切入 IT 培训 市场
339,知乎 获 D 轮 亿美元 融资 今日资本 领投
340,世界 企业 员工 提供 定制 化 在线 英语 培训 L Live 520 万美元 轮 融资
341,赢 职场 获近 亿元 B 轮 融资 未来 重点 拓展 VR 教育 体系
342,立思辰香港 投资 美国蔓藤教育 发力 海外 留 学大 市场
343,首发 翡翠教育 亿元 C 轮 融资 组建 多种 业态 混合 产业 集团
344,世界 Tenka Labs 融资 210 万美元 开发 STEM 教育 玩具
345,覆盖 3000 多万 大学生 掌上大学 获 数千万元 融资
346,首发 有教 未来 获 数千万 Pre 轮 融资 机构 提供 线上 小班 英语课 解决方案
347,荷马教育 亿元 轮 融资 艺考 培训 新东方
348,完善 国际教育 产业链 中泰桥梁 2548 万元 收购 凯文睿信
349,号百控股 重组 天翼阅读 公司 多家 拥有 教育 业务
350,首发 翼鸥教育 亿元 轮 融资 新东方 网领 投 好未来 ATA 跟投
351,首发 成长保 获 5000 万元 Pre 轮 融资 幼教 在线 一对一 迎来 春天
352,蓝帕科技 5400 万 轮 融资 瞄准 教育 信息化 市场
353,上门 陪教 机构 贝贝帮 获 精锐教育 300 万元 战略 投资 建立 师资 输出 平台
354,学习 平台 乂学教育 1.2 亿元 融资 目标 开 400 家 线下 学校
355,Makeblock B轮 亿 人民币 融资 开设 分公司 布局 教育 内容
356,在线 留学 小班 品牌 顶上 教育 数千万 轮 融资 华创资本 领投
357,短 视频 职业教育 平台 东方 标准 X 获 数百万元 战略 投资
358,人工智能 识别 阅读障碍 症 Optolexia 获 520 万 欧元 投资
359,云学堂 200 万美元 B 轮 融资 想 企业 建 一所 大学
360,澳洲 教育 平台 Smart Sparrow 获 400 万美元 B 轮 融资
361,首控集团 投资 新加坡莱佛士音乐学院 发力 演艺 教育
362,编玩边 学获 1000 万元 天使轮融资 用线 小班 课 模式 做 少儿 编程
363,英国 儿童 写作 创新 教学 平台 Pobble 种子轮 融资
364,MasterClass 获 3500 万美元 融资 明星 教育会 带来
365,新加坡 端 学习 社交 平台 Teamie 融资 110 万美元 ACP 基金 领投
366,超 大额 融资 在线 学习 平台 EverFi 获 1.9 亿美元 D轮 融资
367,获 数亿元 B 轮 融资 abc 360 推 少儿 小班 课 兰迪学科英语
368,荔枝 微课 美金 轮 融资 金沙江 高榕 入局 知识 付费
369,瘦课 网获 1500 万 轮 融资 获准 挂牌 新 三板
370,FaceThink 获 好未来 千万级 投资 情绪 识别 功能 引入 双师 课堂
371,股 公司 进军 教育 科斯伍德 拟以 现金 收购 龙门教育 51 股权
372,智能 语法 纠错 公司 Grammarly 获投 1.1 亿美元 盈利
373,AltSchool 4000 万美元 最新 融资 增强 研发 能力
374,中教 未来 拟以 1.5 亿元 收购 布朗睿智 布朗时代 股权 签订 赌 协议
375,ClassPass 7000 万美元 C轮 融资 正式 开启 全球化 进程
376,金陵投资 拟 减持 中泰桥梁股份 占 中泰桥梁 总 股本 8%
377,诺博教育 获 4290 万 轮 融资 幼儿园 委托 经营 核心 业务
378,秦学教育 数千万 人民币 轮 融资 营收 突破 亿元
379,青少年 编程 项目 Vidcode 150 万美元 种子轮 融资 覆盖 25000 家 学校
380,SIA 国际 艺术 教育 获 5000 万 轮 融资 营收 规模 亿
381,职场 教育科技 平台 UniCareer 获 5000 万 B轮 融资 新东方 昆仲资本 联合 领投
382,和晶科技 1.5 亿元 增资 环宇万维 用于 智慧树 业务 经营 拓展
383,押注 司考 名师 军团 正保远程 1.92 亿元 收购 瑞达法考 40% 股权
